ID,User ID,Product ID,Subtotal,Tax,Total,Discount ($),Created At,Quantity
94,Lora Cronin,Practical Aluminum Table,122.37,0,122.37,,"agosto 1, 2025, 12:15 AM",4
95,Lora Cronin,Sleek Marble Clock,42.55,0,42.55,,"setembro 12, 2023, 3:12 PM",4
96,Lora Cronin,Sleek Copper Watch,66.8,0,66.8,,"setembro 26, 2024, 11:27 PM",4
97,Lora Cronin,Enormous Marble Gloves,55.53,0,55.53,,"julho 1, 2025, 1:51 AM",4
98,Lora Cronin,Ergonomic Aluminum Plate,68.12,0,68.12,,"abril 6, 2026, 12:45 AM",3
99,Lora Cronin,Mediocre Leather Coat,115.43,0,115.43,,"dezembro 23, 2025, 9:54 AM",1
100,Lora Cronin,Incredible Plastic Chair,54.58,0,54.58,,"março 28, 2023, 10:58 PM",0
101,Lora Cronin,Ergonomic Paper Wallet,64.17,0,59.12,5.05,"setembro 14, 2024, 6:42 AM",3
102,Lora Cronin,Durable Iron Knife,33.21,0,33.21,,"dezembro 2, 2023, 4:32 AM",2
103,Lora Cronin,Practical Aluminum Table,122.37,0,122.37,,"setembro 15, 2025, 6:30 PM",5
104,Lora Cronin,Fantastic Aluminum Bottle,116.87,0,116.87,,"fevereiro 15, 2026, 6:57 PM",2
105,Lora Cronin,Synergistic Rubber Shoes,57.63,0,57.63,,"março 1, 2024, 12:41 AM",1
106,Lora Cronin,Aerodynamic Leather Toucan,139.89,0,139.89,,"junho 16, 2025, 7:59 AM",4
107,Lora Cronin,Sleek Paper Toucan,77.34,0,77.34,,"maio 7, 2023, 11:40 PM",3
108,Lora Cronin,Practical Bronze Watch,89.65,0,89.65,,"dezembro 1, 2023, 6:15 AM",18
109,Lora Cronin,Practical Aluminum Table,122.37,0,122.37,,"setembro 14, 2025, 6:23 AM",3
110,Lora Cronin,Lightweight Granite Hat,31.36,0,31.36,,"maio 12, 2023, 10:58 PM",4
111,Lora Cronin,Awesome Silk Car,36.37,0,36.37,,"abril 19, 2026, 8:27 AM",3
112,Lora Cronin,Rustic Silk Knife,77.91,0,77.91,,"junho 12, 2024, 4:48 AM",7
113,Lora Cronin,Practical Silk Bottle,84.49,0,84.49,,"setembro 1, 2025, 10:01 PM",5
114,Lora Cronin,Practical Silk Computer,50.09,0,50.09,,"dezembro 8, 2025, 4:20 PM",2
115,Arely Pollich,Heavy-Duty Linen Gloves,85.72,0,85.72,,"agosto 30, 2023, 6:13 AM",6
116,Arely Pollich,Aerodynamic Granite Bottle,41.24,0,41.24,,"janeiro 1, 2025, 6:48 PM",2
117,Arely Pollich,Incredible Silk Shoes,131.43,0,131.43,,"fevereiro 26, 2024, 2:43 AM",2
118,Arely Pollich,Incredible Granite Toucan,80.11,0,80.11,,"dezembro 18, 2024, 4:49 AM",29
119,Arely Pollich,Enormous Copper Shirt,70.15,0,70.15,,"março 26, 2026, 11:06 PM",1
120,Arely Pollich,Incredible Plastic Chair,54.58,0,54.58,,"março 29, 2023, 9:28 PM",1
121,Arely Pollich,Aerodynamic Bronze Hat,61.2,0,55.54,5.66,"fevereiro 3, 2024, 5:48 AM",1
122,Arely Pollich,Aerodynamic Paper Coat,63.51,0,63.51,,"dezembro 31, 2024, 8:08 PM",2
123,Arely Pollich,Practical Aluminum Coat,75.41,0,75.41,,"novembro 19, 2023, 5:22 PM",3
124,Arely Pollich,Ergonomic Aluminum Plate,45.42,0,45.42,,"junho 13, 2023, 12:29 PM",5
125,Wyman Kertzmann,Small Marble Knife,148.17,0,148.17,,"julho 18, 2024, 1:04 AM",4
126,Wyman Kertzmann,Incredible Aluminum Knife,69.15,0,68.6,0.56,"julho 25, 2025, 12:26 AM",4
127,John Aufderhar,Durable Marble Watch,68.62,4.12,72.74,,"agosto 27, 2025, 1:20 AM",4
128,John Aufderhar,Practical Paper Bag,42.49,2.55,45.04,,"maio 29, 2024, 1:45 AM",3
129,John Aufderhar,Sleek Paper Toucan,116.01,6.96,122.97,,"abril 26, 2025, 10:49 PM",3
130,John Aufderhar,Lightweight Steel Knife,45.22,2.71,42.88,5.06,"maio 13, 2023, 3:57 PM",3
131,John Aufderhar,Durable Rubber Computer,114.58,6.87,121.45,,"fevereiro 5, 2026, 10:42 PM",6
132,John Aufderhar,Heavy-Duty Rubber Gloves,47.59,2.86,50.45,,"julho 22, 2024, 3:39 AM",2
133,John Aufderhar,Mediocre Plastic Clock,87.29,5.24,86.66,5.87,"outubro 25, 2022, 11:08 AM",4
134,John Aufderhar,Gorgeous Linen Bottle,117.26,7.04,124.3,,"fevereiro 28, 2026, 1:48 PM",1
135,Angela Botsford,Heavy-Duty Copper Watch,83.5,4.59,88.09,,"janeiro 4, 2024, 2:19 PM",1
136,Angela Botsford,Aerodynamic Concrete Bench,114.42,6.29,120.71,,"novembro 21, 2024, 10:12 PM",2
137,Angela Botsford,Practical Wool Hat,83.5,4.59,88.09,,"fevereiro 25, 2023, 7:42 AM",1
138,Angela Botsford,Awesome Iron Hat,133.52,7.34,140.86,,"março 26, 2024, 1:51 AM",1
139,Angela Botsford,Gorgeous Aluminum Plate,50.05,2.75,52.8,,"julho 31, 2023, 8:42 PM",3
140,Angela Botsford,Enormous Aluminum Shirt,73.99,4.07,78.06,,"agosto 25, 2023, 10:54 AM",6
141,Jeromy Smith,Sleek Steel Table,127.88,9.59,137.47,,"junho 21, 2025, 3:05 PM",5
142,Jeromy Smith,Gorgeous Bronze Hat,122.42,9.18,131.6,,"janeiro 30, 2024, 7:26 PM",2
143,Jeromy Smith,Synergistic Marble Keyboard,112.31,8.42,118.63,2.10,"abril 5, 2024, 8:31 PM",2
144,Jeromy Smith,Aerodynamic Paper Computer,25.1,1.88,26.98,,"dezembro 11, 2022, 4:41 PM",1
145,Jeromy Smith,Heavy-Duty Copper Watch,55.67,4.18,59.85,,"março 18, 2023, 7:40 AM",1
146,Jeromy Smith,Gorgeous Marble Computer,62.18,4.66,66.84,,"setembro 29, 2023, 7:13 PM",6
147,Jeromy Smith,Sleek Granite Pants,82.8,6.21,89.01,,"maio 24, 2025, 3:36 PM",4
148,Jeromy Smith,Fantastic Steel Knife,52.72,3.95,56.67,,"janeiro 26, 2025, 2:21 PM",1
149,Jeromy Smith,Mediocre Leather Coat,115.43,8.66,124.09,,"janeiro 25, 2026, 7:05 PM",2
150,Jeromy Smith,Sleek Leather Toucan,106.44,7.98,114.42,,"novembro 6, 2024, 2:12 PM",3
151,Jeromy Smith,Mediocre Aluminum Shirt,41.62,3.12,44.74,,"dezembro 19, 2025, 7:14 AM",1
152,Jeromy Smith,Mediocre Paper Car,23.54,1.77,25.31,,"abril 28, 2024, 11:03 PM",3
153,Candida Kiehn,Durable Steel Toucan,123.57,4.94,128.51,,"novembro 28, 2024, 3:57 PM",3
154,Candida Kiehn,Lightweight Bronze Table,81.88,3.28,85.16,,"dezembro 25, 2025, 10:11 AM",1
155,Candida Kiehn,Lightweight Wool Bag,60.58,2.42,63,,"abril 6, 2024, 9:28 AM",2
156,Candida Kiehn,Gorgeous Marble Computer,93.28,3.73,97.01,,"março 12, 2026, 1:55 AM",1
157,Candida Kiehn,Sleek Leather Toucan,106.44,4.26,110.7,,"janeiro 14, 2025, 6:54 PM",2
158,Candida Kiehn,Mediocre Aluminum Shirt,41.62,1.66,43.28,,"agosto 18, 2025, 1:58 AM",9
159,Candida Kiehn,Practical Plastic Keyboard,77.91,3.12,81.03,,"janeiro 31, 2024, 11:55 PM",3
160,Candida Kiehn,Aerodynamic Copper Knife,38.3,1.53,39.83,,"março 1, 2024, 11:52 PM",1
161,Nya Weber,Durable Steel Toucan,123.57,8.5,128.88,3.19,"abril 4, 2026, 4:31 AM",2
162,Nya Weber,Practical Wool Hat,125.24,8.61,130.66,3.19,"maio 26, 2025, 2:41 PM",3
163,Nya Weber,Intelligent Paper Hat,125.81,8.65,134.46,,"abril 7, 2024, 2:25 AM",3
164,Nya Weber,Small Plastic Computer,47.74,3.28,51.02,,"outubro 22, 2024, 9:59 AM",7
165,Nya Weber,Mediocre Wooden Table,47.68,3.28,50.96,,"agosto 14, 2025, 12:35 PM",7
166,Nya Weber,Lightweight Leather Bench,91.61,6.3,97.91,,"julho 19, 2025, 1:10 PM",5
167,Nya Weber,Intelligent Steel Car,73.2,5.03,78.23,,"novembro 15, 2025, 6:06 PM",3
168,Nya Weber,Ergonomic Concrete Lamp,98.98,6.8,105.78,,"abril 14, 2024, 10:05 PM",2
169,Nya Weber,Aerodynamic Rubber Bench,71.63,4.92,76.55,,"agosto 13, 2025, 8:36 PM",5
170,Nya Weber,Synergistic Rubber Shoes,57.63,3.96,61.59,,"agosto 3, 2025, 8:33 AM",7
171,Broderick Lockman,Practical Steel Table,78.15,4.49,79.56,3.08,"abril 1, 2026, 5:48 PM",3
172,Broderick Lockman,Enormous Aluminum Clock,48.9,2.81,51.71,,"fevereiro 17, 2026, 12:53 PM",2
173,Broderick Lockman,Rustic Rubber Knife,65.09,3.74,68.83,,"outubro 22, 2024, 6:56 PM",7
174,Broderick Lockman,Ergonomic Cotton Bag,128.58,7.39,132.89,3.08,"abril 9, 2026, 12:03 PM",3
175,Broderick Lockman,Practical Steel Table,78.15,4.49,82.64,,"janeiro 30, 2025, 10:19 AM",2
176,Broderick Lockman,Incredible Bronze Wallet,81.88,4.71,86.59,,"outubro 16, 2024, 1:03 AM",7
177,Desiree Walsh,Incredible Bronze Wallet,81.88,5.32,87.2,,"junho 13, 2025, 4:34 AM",6
178,Desiree Walsh,Incredible Granite Toucan,80.11,5.21,85.32,,"maio 27, 2025, 5:53 AM",5
179,Jayden Hamill,Intelligent Paper Hat,125.81,3.65,129.46,,"julho 21, 2025, 3:27 PM",6
180,Jayden Hamill,Intelligent Paper Hat,125.81,3.65,129.46,,"fevereiro 25, 2025, 4:03 AM",2
181,Jayden Hamill,Practical Copper Car,33.21,0.96,34.17,,"julho 5, 2023, 11:32 AM",6
182,Jayden Hamill,Enormous Leather Wallet,57.92,1.68,59.6,,"março 25, 2026, 11:01 PM",1
183,Jayden Hamill,Gorgeous Linen Bottle,117.26,3.4,120.66,,"agosto 25, 2024, 2:09 PM",8
184,Jayden Hamill,Incredible Plastic Chair,81.88,2.37,84.25,,"março 29, 2024, 1:29 AM",1
185,Alphonso Quigley,Rustic Silk Pants,47.04,1.36,48.4,,"junho 8, 2024, 8:22 PM",8
186,Alphonso Quigley,Practical Silk Computer,50.09,1.45,51.54,,"dezembro 23, 2024, 9:15 PM",2
187,Emilie Goyette,Enormous Wool Car,79.94,3.44,83.38,,"julho 18, 2025, 12:58 AM",5
188,Emilie Goyette,Heavy-Duty Silk Chair,92.31,3.97,92.74,3.54,"abril 26, 2025, 12:15 AM",4
189,Emilie Goyette,Awesome Plastic Watch,51.13,2.2,53.33,,"outubro 16, 2025, 3:52 PM",7
190,Emilie Goyette,Intelligent Bronze Knife,62.09,2.67,64.76,,"dezembro 16, 2025, 4:03 PM",2
191,Emilie Goyette,Enormous Marble Shoes,32.14,1.38,33.52,,"novembro 22, 2025, 2:47 AM",2
192,Emilie Goyette,Durable Leather Wallet,105.08,4.52,109.6,,"abril 2, 2025, 2:37 AM",3
193,Emilie Goyette,Rustic Copper Hat,38.3,1.65,35.7,4.26,"abril 6, 2025, 6:49 PM",3
194,Emilie Goyette,Awesome Aluminum Keyboard,63.72,2.74,57.7,8.76,"janeiro 28, 2024, 8:48 PM",2
195,Emilie Goyette,Sleek Wool Wallet,78.7,3.38,82.08,,"junho 12, 2022, 12:42 AM",9
196,Chelsey Schuppe,Sleek Aluminum Clock,27.74,1.39,29.13,,"novembro 5, 2023, 11:07 AM",3
197,Chelsey Schuppe,Practical Silk Computer,50.09,2.5,52.59,,"setembro 30, 2025, 12:06 PM",4
198,Chelsey Schuppe,Rustic Iron Bench,61.2,3.06,64.26,,"agosto 24, 2025, 1:13 AM",6
199,Chelsey Schuppe,Ergonomic Concrete Lamp,98.98,4.95,103.93,,"maio 8, 2025, 8:36 AM",4
200,Chelsey Schuppe,Intelligent Paper Hat,125.81,6.29,132.1,,"junho 30, 2024, 4:17 AM",5
201,Kaley Ziemann,Rustic Paper Bench,142.2,9.24,151.44,,"março 30, 2024, 8:23 PM",1
202,Kaley Ziemann,Rustic Paper Car,29.8,1.94,31.74,,"janeiro 25, 2024, 4:05 PM",2
203,Kaley Ziemann,Ergonomic Iron Watch,70.05,4.55,74.6,,"agosto 17, 2023, 6:17 PM",6
204,Kaley Ziemann,Lightweight Leather Bench,91.61,5.95,97.56,,"maio 3, 2025, 2:44 AM",4
205,Kaley Ziemann,Enormous Cotton Pants,126.2,8.2,134.4,,"dezembro 23, 2024, 6:21 AM",2
206,Kaley Ziemann,Durable Marble Watch,68.62,4.46,73.08,,"junho 22, 2024, 6:02 AM",7
207,Kaley Ziemann,Fantastic Steel Knife,52.72,3.43,56.15,,"março 7, 2025, 9:51 AM",1
208,Kaley Ziemann,Incredible Plastic Watch,113.95,7.41,121.36,,"agosto 29, 2024, 6:33 AM",6
209,Kaley Ziemann,Gorgeous Marble Computer,93.28,6.06,99.34,,"janeiro 5, 2025, 12:03 AM",2
210,Jaleel Collins,Rustic Linen Keyboard,78.7,4.41,83.11,,"maio 13, 2023, 3:57 PM",6
211,Jaleel Collins,Ergonomic Linen Toucan,117.33,6.57,123.9,,"novembro 9, 2025, 1:30 AM",4
212,Jaleel Collins,Ergonomic Rubber Bench,37.02,2.07,39.09,,"outubro 22, 2023, 1:27 AM",6
213,Jaleel Collins,Synergistic Wool Coat,85.7,4.8,90.5,,"julho 31, 2023, 5:23 PM",4
214,Jaleel Collins,Heavy-Duty Silk Chair,92.31,5.17,97.48,,"fevereiro 10, 2026, 8:43 PM",1
215,Jaleel Collins,Ergonomic Concrete Lamp,65.98,3.7,69.68,,"março 17, 2023, 7:57 AM",1
216,Jaleel Collins,Heavy-Duty Silk Chair,61.54,3.45,64.99,,"outubro 12, 2023, 3:02 AM",5
217,Jaleel Collins,Enormous Plastic Coat,45.22,2.53,47.75,,"abril 8, 2023, 7:32 AM",2
218,Jaleel Collins,Practical Paper Bag,42.49,2.38,44.87,,"março 20, 2025, 2:58 PM",1
219,Jaleel Collins,Mediocre Leather Coat,76.95,4.31,81.26,,"maio 15, 2023, 2:46 PM",2
220,Jaleel Collins,Durable Copper Clock,112.42,6.3,118.72,,"agosto 26, 2024, 2:21 AM",6
221,Jaleel Collins,Small Marble Knife,148.17,8.3,156.47,,"fevereiro 18, 2026, 8:30 AM",1
222,Jaleel Collins,Enormous Plastic Coat,67.83,3.8,69.16,2.47,"março 19, 2025, 6:21 PM",1
223,Jaleel Collins,Gorgeous Aluminum Plate,75.08,4.2,79.28,,"março 6, 2024, 11:47 AM",1
224,Jaleel Collins,Aerodynamic Concrete Bench,76.28,4.27,80.55,,"agosto 16, 2023, 2:56 PM",8
225,Cecilia Stark,Incredible Plastic Chair,81.88,4.91,83.59,3.20,"novembro 11, 2024, 9:14 PM",3
226,Cecilia Stark,Aerodynamic Cotton Bottle,84.08,5.04,89.12,,"dezembro 15, 2025, 4:22 AM",2
227,Cecilia Stark,Fantastic Silk Bottle,136.16,8.17,144.33,,"junho 16, 2024, 7:38 PM",6
228,Cecilia Stark,Practical Silk Bottle,56.33,3.38,59.71,,"abril 17, 2023, 3:21 PM",3
229,Cecilia Stark,Enormous Aluminum Clock,32.6,1.96,34.56,,"dezembro 26, 2023, 7:29 AM",2
230,Andreanne Hills,Enormous Aluminum Shirt,110.99,7.63,118.62,,"janeiro 29, 2026, 3:39 AM",2
231,Andreanne Hills,Gorgeous Paper Bag,97.7,6.72,104.42,,"março 22, 2025, 1:41 AM",1
232,Andreanne Hills,Awesome Plastic Watch,51.13,3.52,46.79,7.85,"novembro 12, 2024, 11:45 PM",2
233,Andreanne Hills,Practical Silk Bottle,84.49,5.81,90.3,,"agosto 2, 2024, 6:00 AM",5
234,Andreanne Hills,Heavy-Duty Wooden Clock,74.3,5.11,79.41,,"novembro 13, 2024, 9:41 PM",2
235,Andreanne Hills,Synergistic Granite Chair,53.08,3.65,56.73,,"janeiro 3, 2026, 4:15 AM",1
236,Andreanne Hills,Sleek Aluminum Clock,41.62,2.86,44.48,,"junho 15, 2025, 5:15 AM",6
237,Andreanne Hills,Ergonomic Marble Hat,69.12,4.75,73.87,,"novembro 19, 2023, 10:58 PM",3
238,Elyssa Wolf,Practical Bronze Computer,58.31,3.64,61.95,,"dezembro 22, 2023, 3:09 AM",2
239,Elyssa Wolf,Incredible Plastic Watch,113.95,7.12,121.07,,"novembro 25, 2025, 10:24 AM",4
240,Elyssa Wolf,Awesome Iron Hat,133.52,8.35,141.87,,"janeiro 24, 2024, 3:27 AM",2
241,Elyssa Wolf,Fantastic Leather Watch,78.22,4.89,83.11,,"outubro 5, 2023, 3:52 AM",7
242,Elyssa Wolf,Incredible Silk Shoes,87.62,5.48,93.1,,"maio 3, 2023, 5:44 AM",4
243,Elyssa Wolf,Small Concrete Knife,55.02,3.44,58.46,,"outubro 16, 2025, 10:09 AM",4
244,Elyssa Wolf,Enormous Aluminum Clock,48.9,3.06,51.96,,"agosto 30, 2024, 6:58 AM",7
245,Elyssa Wolf,Awesome Cotton Shoes,75.03,4.69,79.72,,"outubro 21, 2025, 4:56 PM",7
